num,id,created_at,tag,username,likes,platform,body
0,471681465,2022-07-14T13:26:31Z,NULL,Billionaireclubcollc,0,Web,Will Ethereum ever surpass Bit...
1,471680842,2022-07-14T13:24:15Z,Bullish,John88888888,0,iOS,"$ETH.X mount gox people, when ..."
2,471680313,2022-07-14T13:22:09Z,NULL,CrzyChris5,0,,$BTC.X $ETH.X Just a quick tho...
3,471679253,2022-07-14T13:17:59Z,NULL,STCKPRO,0,STCK.PRO,$ETH.X NEW ARTICLE : Will Ethe...
4,471678042,2022-07-14T13:13:29Z,NULL,Billionaireclubcollc,0,Web,Bitcoin’s Production Cost Esti...
5,471677828,2022-07-14T13:12:33Z,NULL,Crypto_Trapper,1,iOS,$ETH.X Keep loading the boat...
6,471677653,2022-07-14T13:11:51Z,NULL,CrzyChris5,1,,$BTC.X $ETH.X Amazing how pric...
7,471676170,2022-07-14T13:05:58Z,Bullish,Crypto_Trapper,0,iOS,$ETH.X I feel bad for people w...
8,471676052,2022-07-14T13:05:31Z,NULL,Crypto_Trapper,1,iOS,$ETH.X she is working her way ...
9,471675344,2022-07-14T13:02:17Z,Bullish,AJRBR,0,Web,$ETH.X  lokk this $FIRO.X...
10,471674593,2022-07-14T12:59:24Z,NULL,e_x_p_i_r_e,3,Web,$ETH.X $BTC.X $SPY $QQQ brutal...
11,471672675,2022-07-14T12:49:14Z,Bearish,Automaton_Type_2b,0,,$ETH.X It rises 5% and the ete...
12,471671950,2022-07-14T12:45:17Z,NULL,FidelCashflow1,1,iOS,$AAPL $SPY $QQQ $BTC.X $ETH.X ...
13,471671347,2022-07-14T12:42:29Z,Bullish,Lionseer,2,iOS,$SOS people talk about Texas a...
14,471670508,2022-07-14T12:38:31Z,Bullish,CanIGetABreak,1,,"$ETH.X Common Ethereum, drop a..."
15,471667457,2022-07-14T12:24:54Z,Bullish,cloudcoin,0,iOS,$BTC.X $HUT $HIVE $ETH.X $XMR....
16,471667025,2022-07-14T12:22:29Z,NULL,STCKPRO,0,STCK.PRO,$ETH.X NEW ARTICLE : GameStop ...
17,471665403,2022-07-14T12:13:02Z,Bearish,Honeycombz11,1,Web,$ETH.X Stop screwing around pl...
18,471665192,2022-07-14T12:11:47Z,Bullish,PeaCy____,1,,"$ETH.X FCK it 6 more here.
Thx..."
19,471665078,2022-07-14T12:11:03Z,Bearish,Pitbullbearista,0,iOS,$ETH.X bump and big dump...
20,471664316,2022-07-14T12:06:32Z,Bullish,marketp,8,iOS,$SHIB.X $BTC.X $ETH.X major co...
21,471662544,2022-07-14T11:57:43Z,NULL,Billionaireclubcollc,0,Web,"Ukraine Confines Cash, Silver ..."
22,471662324,2022-07-14T11:56:14Z,NULL,Billionaireclubcollc,0,Web,Cryptocurrency Exchange OKX Aw...
23,471661843,2022-07-14T11:52:29Z,NULL,WarHammerCapital,1,iOS,"$JPM pauses share buybacks, $E..."
24,471661415,2022-07-14T11:49:37Z,Bearish,Pitbullbearista,0,iOS,$ETH.X 🤕 😭...
25,471660534,2022-07-14T11:43:12Z,NULL,Billionaireclubcollc,0,Web,"Bexplus Exchange Announces $5,..."
26,471657680,2022-07-14T11:23:23Z,Bearish,jmoney091,2,iOS,$ETH.X $BTC.X not looking good...
27,471657097,2022-07-14T11:18:31Z,NULL,Tristanvdb,0,iOS,"$XRP.X $BTC.X $ETH.X $XRP.X 

..."
28,471657034,2022-07-14T11:17:58Z,NULL,Tristanvdb,1,iOS,$QNT.X $BTC.X $ETH.X $XRP.X...
29,471656140,2022-07-14T11:09:54Z,NULL,Billionaireclubcollc,2,Web,Bitcoin of America’s Customer ...
30,471654111,2022-07-14T10:51:23Z,NULL,Billionaireclubcollc,0,Web,Dogecoin Maker Calls Bankrupt ...
31,471653004,2022-07-14T10:36:06Z,Bullish,DeFi_Wookie,1,iOS,$ETH.X A huge drop in supply (...
32,471652208,2022-07-14T10:23:34Z,NULL,Billionaireclubcollc,0,Web,Bitcoin’s 50% Decline in Produ...
33,471651768,2022-07-14T10:15:41Z,NULL,GreenOriginInvestment,0,Web,$RDBX $ETH.X $SIGA you guys wi...
34,471651430,2022-07-14T10:11:22Z,Bullish,ApTogStr,0,iOS,$ETH.X when $10k?...
35,471651029,2022-07-14T10:05:39Z,NULL,STCKPRO,0,STCK.PRO,$ETH.X NEW ARTICLE : Upcoming ...
36,471650970,2022-07-14T10:05:03Z,NULL,Billionaireclubcollc,0,Web,South African exchanges welcom...
37,471650611,2022-07-14T10:00:58Z,NULL,Billionaireclubcollc,2,Web,Shiba Inu Makes ‘Huge Addition...
38,471650439,2022-07-14T09:58:15Z,Bullish,leonleonleon,1,Web,$UBT.X . With $ETH.X flirting ...
