num,message_id,tag,user_id,username,join_date,country,followers,following,posts_count,likes_counts,watchlist_counts,platform
0,472206234,NULL,1037324,StockTraderCapital,2017-04-24,US,582,52,35381,14481,31,Android
1,472205691,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8449,3,167850,21811,296,Web
2,472205675,NULL,3719725,ThePoleTrader,2020-07-01,US,11,16,1755,2448,37,iOS
3,472205476,Bearish,5335932,EIon__Musk,2021-04-10,US,1040,797,31601,138973,300,Android
4,472205325,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942442,51,0,STCK.PRO
5,472205225,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8449,3,167837,21811,296,Web
6,472205109,Bullish,1578839,BullnBearTrading,2018-08-16,US,344,14,3671,1860,7,Web
7,472205020,Bullish,5455336,staydowngetdown,2021-05-10,US,3,22,1702,1328,38,iOS
8,472205016,NULL,6750079,Cpaulson,2022-07-18,NULL,0,0,3,3,0,Android
9,472204936,Bullish,5295994,DigitalDataNomad,2021-03-29,US,352,170,16253,18532,19,Web
10,472204882,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8449,3,167850,21811,296,Web
11,472204727,NULL,3966421,STOCKMOVED,2020-08-17,US,472,2003,7980,11666,6,Android
12,472204546,NULL,4129337,snapcracklepopcorn,2020-10-01,US,14,0,1465,297,43,iOS
13,472204452,NULL,4601037,TheAutistFKAprince,2021-01-15,US,19,0,1923,83,9,Web
14,472204345,NULL,551986,CrzyChris5,2015-07-17,US,223,1,9438,1613,16,Android
15,472204174,Bearish,5231851,Stranix49,2021-03-13,US,1,0,419,1584,6,iOS
16,472203916,Bearish,3744846,n3wb1e123,2020-07-06,US,172,5,20366,1188,21,Android
17,472203685,Bullish,3460755,Hivoltech,2020-05-15,US,3,25,97,15,15,Web
18,472203516,Bearish,6358556,rumneychel,2022-02-26,US,20,10,1101,267,15,iOS
19,472203492,Bullish,1578839,BullnBearTrading,2018-08-16,US,344,14,3671,1860,7,Web
20,472203423,NULL,5982177,Jnb410,2021-10-13,US,25,4,3024,953,2,iOS
21,472203210,Bullish,3768454,iiTzRaY369,2020-07-10,US,22,4,1227,9610,51,iOS
22,472203067,Bullish,5305403,ExchangeMore,2021-04-01,US,28,9,297,137,11,Web
23,472203053,Bearish,6743179,CrunchPasta,2022-07-13,US,0,0,66,0,2,iOS
24,472202913,NULL,2086227,MandoTA,2019-05-16,US,73,32,5460,835,27,iOS
25,472202556,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8449,3,167837,21811,296,Web
26,472202493,Bullish,379410,precise,2014-07-24,US,62,41,2967,4199,9,Web
27,472201782,NULL,6229183,OldmanSachss,2022-01-05,US,33,6,2054,918,17,Android
28,472201622,NULL,6728644,Options_Snipper,2022-07-04,NULL,407,0,1624,568,8,Web
29,472201447,NULL,1707210,Rjay1,2018-11-11,US,39,185,2348,563,300,iOS
30,472201114,Bearish,1200163,Ryuk,2017-09-23,US,647,59,17331,18796,1,iOS
31,472201100,Bullish,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,11,0,526,256,0,Web
32,472201089,Bullish,4955055,Stonktrader1,2021-02-10,US,93,25,5439,5090,37,iOS
33,472200871,Bullish,1658115,Ipoopedonyourmother,2018-10-12,US,2,0,269,80,1,Web
34,472200738,Bearish,6005288,Ethman1994,2021-10-21,US,8,0,1536,41,0,Web
35,472200381,Bullish,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,11,0,526,256,0,Web
36,472200180,Bullish,4225,lifesagame,2009-09-19,US,179,137,12998,892,150,iOS
37,472200107,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167789,21811,296,Web
38,472198745,NULL,720944,straightcashtd,2016-04-04,US,11,72,614,877,20,iOS
39,472198649,Bullish,3882259,RamboTrades,2020-07-31,US,262,10,8165,18463,7,iOS
40,472198382,NULL,6706588,TomCatt222,2022-06-22,US,2,0,191,35,14,Android
41,472198146,Bullish,3366895,Stockcrusher808,2020-04-27,US,9,15,715,583,102,iOS
42,472197689,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942436,51,0,STCK.PRO
43,472197601,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167789,21811,296,Web
44,472197596,NULL,4303359,Bearswin2,2020-11-14,US,68,10,6141,411,91,Android
45,472197564,Bearish,4303359,Bearswin2,2020-11-14,US,68,10,6141,412,91,Android
46,472197487,Bullish,1316284,Momentumdt78,2017-12-15,US,1,9,724,256,56,iOS
47,472197459,Bearish,1316284,Momentumdt78,2017-12-15,US,1,9,724,256,57,iOS
48,472197153,NULL,5831806,Dans2do,2021-08-27,US,3,0,404,18,39,Android
49,472196918,NULL,4004495,Jrizzlemoney,2020-08-26,US,19,73,939,542,21,Web
50,472196688,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167757,21811,296,Web
51,472196376,NULL,3095656,jolaprise,2020-02-14,US,9,10,2529,5783,33,Android
52,472196105,Bullish,3007976,KMoneyBags,2020-01-06,US,47,20,4446,10005,6,Android
53,472196101,Bullish,5567211,MoonOBars,2021-06-08,US,23,18,1865,826,26,Android
54,472196074,Bullish,6037877,The1albatross,2021-10-28,US,501,121,29653,87829,48,iOS
55,472195918,NULL,4208137,XCryptoKingX,2020-10-19,US,177,9,7481,1556,49,Zapier
56,472195800,NULL,6641050,blackeagle7,2022-05-24,US,8,6,487,14597,14,Android
57,472195636,Bearish,768775,Age_of_Aquarius,2016-06-08,US,368,8,20596,9170,16,iOS
58,472195511,Bullish,4002890,paintinmanning,2020-08-25,US,10,6,657,772,10,iOS
59,472195489,Bearish,5353908,CashNSmash,2021-04-15,US,58,20,4002,1158,2,iOS
60,472195377,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167757,21811,296,Web
61,472195315,NULL,811055,Jemi,2016-08-03,US,588,36,47367,56167,41,iOS
62,472195113,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167757,21811,296,Web
63,472195098,NULL,4831400,Azir83,2021-02-02,US,34,1,5090,1304,146,Android
64,472195017,Bearish,6358556,rumneychel,2022-02-26,US,20,10,1097,266,15,iOS
65,472194877,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167757,21811,296,Web
66,472194857,NULL,4303359,Bearswin2,2020-11-14,US,68,10,6141,411,91,Android
67,472194685,NULL,4303359,Bearswin2,2020-11-14,US,68,10,6141,411,91,Android
68,472194477,Bullish,3611022,Peterdaguru,2020-06-11,US,490,13,22819,287,48,iOS
69,472194357,Bullish,3675629,Stockmelongtime,2020-06-23,US,36,26,4357,3679,69,iOS
70,472194297,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167789,21811,296,Web
71,472193977,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167757,21811,296,Web
72,472193895,NULL,30669,patrickrooney,2010-11-28,US,2047,916,5113,682,36,Web
73,472193649,Bearish,6005288,Ethman1994,2021-10-21,US,8,0,1532,41,0,Web
74,472193115,NULL,1387268,Simplejackinvestor,2018-01-27,US,4,2,588,320,5,Web
75,472193077,Bullish,4394711,luck4real,2020-12-07,US,0,0,252,944,22,Android
76,472193014,Bearish,6005288,Ethman1994,2021-10-21,US,8,0,1532,41,0,Web
77,472192799,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167757,21811,296,Web
78,472192655,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8450,3,167757,21811,296,Web
79,472192613,NULL,3883427,curisftw,2020-07-31,US,27,2,6338,92,5,iOS
80,472192354,Bullish,1658460,MichaelAR,2018-10-13,US,21,22,1296,1079,22,iOS
81,472192338,NULL,1555408,STCKPRO,2018-07-24,US,9007,2,942420,51,0,STCK.PRO
82,472192225,Bullish,6749977,johnxrp589,2022-07-17,NULL,0,0,1,0,0,Web
