num,user_id,username,join_date,country,followers,following,posts_count,likes_counts,watchlist_counts,platform
1,1037324,StockTraderCapital,2017-04-24,US,582,52,35717,14606,32,Android
2,1505519,Billionaireclubcollc,2018-05-26,US,8479,3,169697,21811,296,Web
3,3719725,ThePoleTrader,2020-07-01,US,11,16,1756,2448,37,iOS
4,5335932,EIon__Musk,2021-04-10,US,1088,789,32405,143303,300,Android
5,1555408,STCKPRO,2018-07-24,US,9029,2,951232,51,0,STCK.PRO
6,1578839,BullnBearTrading,2018-08-16,US,349,14,3716,1865,7,Web
7,5455336,staydowngetdown,2021-05-10,US,3,22,1712,1339,38,iOS
8,6750079,Cpaulson,2022-07-18,NULL,0,0,3,3,0,Android
9,5295994,DigitalDataNomad,2021-03-29,US,357,171,16443,18796,19,Web
10,3966421,STOCKMOVED,2020-08-17,US,469,2003,7952,11618,5,iOS
11,4129337,snapcracklepopcorn,2020-10-01,US,15,0,1490,298,43,iOS
12,4601037,TheAutistFKAprince,2021-01-15,US,19,0,1946,83,6,Android
13,551986,CrzyChris5,2015-07-17,US,222,0,9454,1620,16,Android
14,5231851,Stranix49,2021-03-13,US,1,0,422,1586,6,iOS
15,3744846,n3wb1e123,2020-07-06,US,178,5,20489,1189,21,Android
16,3460755,Hivoltech,2020-05-15,US,3,25,99,15,16,Web
17,6358556,rumneychel,2022-02-26,US,22,11,1217,311,18,iOS
18,5982177,Jnb410,2021-10-13,US,26,4,3147,989,2,iOS
19,3768454,iiTzRaY369,2020-07-10,US,22,4,1244,9640,51,iOS
20,5305403,ExchangeMore,2021-04-01,US,28,9,319,150,11,Web
21,6743179,CrunchPasta,2022-07-13,US,0,0,174,0,2,iOS
22,2086227,MandoTA,2019-05-16,US,76,33,5614,848,28,iOS
23,379410,precise,2014-07-24,US,62,41,3026,4621,8,Web
24,6229183,OldmanSachss,2022-01-05,US,35,6,2134,942,17,Android
25,6728644,Options_Snipper,2022-07-04,NULL,502,0,2166,863,8,Web
26,1707210,Rjay1,2018-11-11,US,39,185,2361,565,300,iOS
27,1200163,Ryuk,2017-09-23,US,648,59,17382,18808,1,iOS
28,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,10,0,526,256,0,Web
29,4955055,Stonktrader1,2021-02-10,US,93,25,5440,5090,37,iOS
30,1658115,Ipoopedonyourmother,2018-10-12,US,2,0,273,81,1,Web
31,6005288,Ethman1994,2021-10-21,US,8,1,1582,43,0,Web
32,4225,lifesagame,2009-09-19,US,180,137,13181,899,153,iOS
33,720944,straightcashtd,2016-04-04,US,12,73,624,883,20,iOS
34,3882259,RamboTrades,2020-07-31,US,264,10,8262,18698,8,iOS
35,6706588,TomCatt222,2022-06-22,US,2,0,261,50,14,Android
36,3366895,Stockcrusher808,2020-04-27,US,9,15,716,583,102,iOS
37,4303359,Bearswin2,2020-11-14,US,77,10,6668,418,90,Android
38,1316284,Momentumdt78,2017-12-15,US,2,10,927,294,58,iOS
39,5831806,Dans2do,2021-08-27,US,3,0,405,18,39,Android
40,4004495,Jrizzlemoney,2020-08-26,US,20,74,997,593,25,Web
41,3095656,jolaprise,2020-02-14,US,9,10,2547,5804,33,Android
42,3007976,KMoneyBags,2020-01-06,US,47,20,4462,10036,7,Android
43,5567211,MoonOBars,2021-06-08,US,23,18,1877,836,26,Android
44,6037877,The1albatross,2021-10-28,US,538,130,30684,90123,54,iOS
45,4208137,XCryptoKingX,2020-10-19,US,177,9,7492,1556,49,Zapier
46,6641050,blackeagle7,2022-05-24,US,16,9,906,15953,13,Android
47,768775,Age_of_Aquarius,2016-06-08,US,370,8,20725,9212,16,iOS
48,4002890,paintinmanning,2020-08-25,US,10,6,666,782,10,iOS
49,5353908,CashNSmash,2021-04-15,US,58,20,3999,1158,2,iOS
50,811055,Jemi,2016-08-03,US,588,36,47404,56198,41,iOS
51,4831400,Azir83,2021-02-02,US,34,1,5126,1307,146,Android
52,3611022,Peterdaguru,2020-06-11,US,544,13,23095,288,48,iOS
53,3675629,Stockmelongtime,2020-06-23,US,36,26,4407,3700,72,iOS
54,30669,patrickrooney,2010-11-28,US,2050,916,5124,682,36,Web
